Out.SubInd,PrName,Observations,Studies,Sites,RR.Shapiro.Sig,RR,RR.median,RR.var,RR.se,RR.Quantiles0.25,PC.Shapiro.Sig,PC,PC.median,PC.se,PC.var,PC.Quantiles0.25,Units,Model,MeanT.Obs,MeanT,MeanT.se,MeanC.Obs,MeanC,MeanC.se,RR.t value,RR.Pr(>|t|),RR.Sigma2,PC.t value,PC.Pr(>|t|),PC.Sigma2,RR.pc.se.low,RR.pc,RR.pc.se.high,RR.pc.jen.low,RR.pc.jen,RR.pc.jen.high,PC.pc.se.low,PC.pc,PC.pc.se.high
Crop Yield,Agroforestry Fallow-Agroforestry Pruning,85,4,4,0.66163,0.38966,0.40012586718599163,0.31388,0.11307,-1.03212|0.09661|0.40013|0.62617|1.79602,0,1.71465,1.49203125,0.268,1.2326,0.35625|1.10147|1.49203|1.87065|6.02564,Mg/ha,lmerModLmerTest,28,1.36849,0.13577,15,0.87754,0.03199,3.44631,0.04178,0.02692,6.39787,0.00807,0.09936,31.86256,47.64787,65.32284,33.64943,49.64865,67.56313,44.665,71.465,98.265
Biomass Yield,Agroforestry Fallow-Agroforestry Pruning,25,2,2,0.00614,0.33071,0.27028735975887935,0.12075,0.06256,-0.58779|-0.04128|0.27029|0.56395|0.94887,0.49476,1.45765,1.31166725502287,0.09083,0.25456,0.55556|0.97713|1.31167|1.75761|2.58278,Mg/ha,lm,13,2.76484,0.12167,5,2.00222,0.04948,5.28656,2e-5,0.01761,16.04849,0,0.03712,30.75433,39.19561,48.18184,31.9107,40.42664,49.49234,36.682,45.765,54.848
Soil Organic Carbon,Agroforestry Fallow-Agroforestry Pruning,98,3,2,0.33782,0.05995,0.046334928362219197,0.03663,0.01758,-0.20067|-0.02062|0.04633|0.17869|0.43242,0.17371,1.07769,1.0474252491694354,0.01879,0.04187,0.81818|0.97959|1.04743|1.19565|1.54098,Multiple,lm,NA,NA,NA,NA,NA,NA,3.4106,9.5e-4,0.0017,57.34669,0,0.00194,4.32804,6.17835,8.06147,4.41676,6.26864,8.15336,5.89,7.769,9.648
Cation Exchange Capacity,Alleycropping,3,2,2,0.84932,-0.16881,-0.32697100063329776,0.04767,0.07909,-0.47|-0.43425|-0.32697|-0.2197|0.1929,0.67708,0.86095,0.7284935379644588,0.07319,0.03917,0.625|0.65087|0.72849|0.80611|1.21277,Multiple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.95651,-15.53297,-8.58073,NA,-6.37548,NA,-21.22426,-13.90476,-6.58527
Crop Yield,Agroforestry Fallow-Agroforestry Pruning-Alleycropping,24,5,3,0.99084,0.5146,0.44617047207314514,0.18774,0.15428,-0.51083|0.19164|0.44617|0.74504|1.13943,0.42875,1.84781,1.5623333333333334,0.30856,0.45826,0.6|1.21164|1.56233|2.10659|3.125,Mg/ha,lmerModLmerTest,9,2.36454,0.14607,6,1.46424,0.07392,3.33539,0.10572,0.05542,5.98841,0.03275,0.11261,43.37882,67.29692,95.20498,47.4074,71.99754,100.68975,53.925,84.781,115.637
Runoff,Agroforestry Pruning,9,2,1,0.52216,1.05807,0.8109302162163288,Inf,0.25023,-0.22314|0.55962|0.81093|1.30495|2.77259,2e-4,3.86524,2.25,1.35717,Inf,0.8|1.75|2.25|3.6875|16,mm,lm,4,25.42917,Inf,4,8.4,Inf,4.22837,0.00288,0.06262,2.84802,0.02154,1.8419,124.30577,188.08057,269.98786,131.43989,197.24306,281.75544,150.807,286.524,422.241
Erosion,Agroforestry Pruning,5,2,1,0.04554,0.64256,0.8811994120628851,Inf,0.55725,-0.7115|-0.7115|0.8812|1.23614|1.59109,0.0398,2.94219,2.4137931034482762,1.11896,Inf,0.49091|0.49091|2.41379|3.66144|4.90909,Mg/ha,NA,3,6.5975,Inf,3,4.1625,Inf,NA,NA,NA,NA,NA,NA,8.90496,90.13384,231.94887,NA,Inf,NA,82.32278,194.21913,306.11548
Biomass Yield,Agroforestry Pruning-Alleycropping-Intercropping,23,3,4,0.14664,0.00209,-0.3048812241791812,0.2959,0.23524,-0.76751|-0.57493|-0.30488|0.17386|0.8873,0.00822,1.13752,0.7372109320252278,0.26845,0.3818,0.46417|0.56303|0.73721|1.1899|2.42857,Mg/ha,lmerModLmerTest,14,3.13212,1.19756,4,3.05593,0.64481,0.00887,0.99348,0.01896,4.2374,0.024,0.02387,-20.79652,0.20922,26.78594,-20.0421,1.16372,27.99359,-13.093,13.752,40.597
Crop Yield,Agroforestry Pruning-Alleycropping-Intercropping,62,4,5,0.24037,-0.01114,-0.33984736738483184,0.42306,0.24973,-1.2205|-0.59127|-0.33985|0.20207|1.38629,0,1.22232,0.711879238063082,0.32108,0.72348,0.29508|0.55364|0.71188|1.22393|4,Mg/ha,lmerModLmerTest,15,1.75378,0.10691,7,2.06624,0.34756,-0.04462,0.96657,0.01455,3.80689,0.01953,0.02799,-22.96189,-1.10782,26.9458,-22.3994,-0.38575,27.87269,-9.876,22.232,54.34
Crop Yield,Agroforestry Pruning-Green Manure,18,2,4,0.02811,0.67464,0.5417038524760063,0.34806,0.10118,0.15415|0.3171|0.5417|0.8473|1.46634,0.00147,2.1556,1.7189331770222747,0.24326,2.012,1.16667|1.37313|1.71893|2.33333|4.33333,Multiple,lm,NA,NA,NA,NA,NA,NA,6.66783,0,0.02047,8.86121,0,0.11835,77.43959,96.33261,117.23727,79.26501,98.35239,119.47212,91.234,115.56,139.886
Crop Yield,Agroforestry Pruning-Green Manure-Inorganic Fertilizer,24,2,2,0.79908,0.67799,0.6800782272960172,0.12233,0.06983,0.05979|0.39087|0.68008|0.91009|1.50408,0.22962,2.08178,1.975797635304423,0.14445,0.52355,1.06161|1.47826|1.9758|2.48456|4.5,Mg/ha,lm,6,2.5562,0.25604,2,1.30344,0.0497,9.70971,0,0.05851,14.41162,0,0.25039,83.70481,96.99142,111.239,89.15848,102.83953,117.51008,93.733,108.178,122.623
Biomass Yield,Agroforestry Fallow,48,4,4,3e-5,0.42268,0.38270601983445646,0.08454,0.04118,-0.33647|0.37806|0.38271|0.39341|2.57346,0,1.73167,1.4662526615941904,0.23483,1.19049,0.71429|1.45946|1.46625|1.48205|13.11111,Mg/ha,lmerModLmerTest,16,10.36355,15.52185,9,6.99394,9.31324,10.26356,0,0.02968,7.37415,0.01859,0.40159,46.44797,52.60459,59.02003,48.63746,54.88613,61.39749,49.684,73.167,96.65
Crop Yield,Agroforestry Fallow,60,7,6,0.00735,0.53703,0.36029647202996506,0.20146,0.15248,-0.539|0.32966|0.3603|0.37151|2.63906,0,1.99117,1.4337650323774283,0.36309,1.57119,0.58333|1.3905|1.43377|1.44993|14,Mg/ha,lmerModLmerTest,23,2.58097,0.09808,14,1.69625,0.10347,3.52189,0.01779,0.04859,5.48397,0.00255,0.42554,46.89531,71.09179,99.27389,50.50784,75.29937,104.17453,62.808,99.117,135.426
Crop Yield,Agroforestry Fallow-Water Harvesting,22,2,2,0.0109,1.35338,1.233090202896663,0.7464,0.15934,0.28336|0.61288|1.23309|1.64443|3.07577,1.8e-4,5.2248,3.4318181818181817,1.04978,32.40021,1.32759|1.84752|3.43182|5.18125|21.66667,Mg/ha,lm,6,1.63914,0.01018,3,0.53643,0.07381,8.49392,0,0.08886,4.9770200000000004,6e-5,3.85717,230.03879,287.04857,353.90603,245.03304,304.63288,374.52779,317.502,422.48,527.458
Soil Organic Carbon,Agroforestry Fallow-Agroforestry Pruning-Reduced Tillage,48,2,1,0.017,0.25012,0.25489224962879004,0.01739,0.01571,0.08895|0.13353|0.25489|0.32542|0.44895,0.01612,1.29165,1.2903225806451613,0.02036,0.02922,1.09302|1.14286|1.29032|1.38462|1.56667,Multiple,lm,NA,NA,NA,NA,NA,NA,15.92581,0,7.4e-4,63.44705,0,0.00124,26.41627,28.41795,30.45133,26.46305,28.46547,30.4996,27.129,29.165,31.201
Biodiversity,Agroforestry Pruning-Alleycropping,4,2,1,0.41234,0.08814,0.03403807164149028,0.01858,0.0414,0.02876|0.02876|0.03404|0.04723|0.37071,0.36039,1.09868,1.0346673800337594,0.04999,0.02748,1.02918|1.02918|1.03467|1.04839|1.44876,Multiple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.78545,9.2142,13.83014,NA,14.89253,NA,4.86818,9.86754,14.8669
Soil Total Nitrogen,Agroforestry Pruning,70,4,4,0,0.14158,0,0.10063,0.03623,-0.17662|-0.02205|0|0.23706|1.28823,0,1.21843,1,0.06144,0.2894,0.8381|0.97825|1|1.26752|3.62637,Multiple,lmerModLmerTest,NA,NA,NA,NA,NA,NA,3.9079,2.1e-4,0.01313,19.83159,0,0.03775,11.10994,15.20927,19.45983,11.84178,15.9681,20.24667,15.699,21.843,27.987
Soil Total Nitrogen,Agroforestry Pruning-Inorganic Fertilizer,52,3,2,6.2e-4,0.04094,-0.07968308881554531,0.08594,0.03856,-0.35855|-0.13682|-0.07968|0.04717|1.02799,0,1.09055,0.9234178773701055,0.05695,0.18749,0.69869|0.87239|0.92342|1.04859|2.79545,Multiple,lm,NA,NA,NA,NA,NA,NA,1.0616,0.29342,0.01264,19.14774,0,0.02757,0.23828,4.17896,8.27456,0.8738,4.83946,8.96102,3.36,9.055,14.75
